epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4976.63,1.04867,0.65338,1.03335,0.78178,0.78135,0.81094,0.51615,1.14079,0.60859,1.17995,0.000450422,0.000450422,0.000450422
43,5093.66,1.0372,0.64597,1.03015,0.84341,0.78732,0.84804,0.5717,0.98614,0.53462,1.05926,0.000448063,0.000448063,0.000448063
44,5210.72,1.02744,0.6347,1.02586,0.86962,0.77582,0.84314,0.56679,0.99839,0.54321,1.06863,0.000445657,0.000445657,0.000445657
45,5327.81,1.01998,0.63179,1.02136,0.84584,0.7808,0.83478,0.55821,1.02047,0.5495,1.09137,0.000443202,0.000443202,0.000443202
46,5444.9,1.01957,0.63467,1.02566,0.8326,0.77856,0.83333,0.55266,1.03571,0.55959,1.09917,0.0004407,0.0004407,0.0004407
47,5561.99,1.01939,0.63092,1.02505,0.8344,0.80205,0.84931,0.57434,0.97819,0.53227,1.0552,0.000438152,0.000438152,0.000438152
48,5679.1,1.00543,0.61946,1.01566,0.83593,0.7951,0.84857,0.56643,1.01755,0.54202,1.08582,0.000435559,0.000435559,0.000435559
49,5796.16,1.00106,0.61667,1.01539,0.84973,0.79783,0.85336,0.58571,0.9668,0.51764,1.05698,0.00043292,0.00043292,0.00043292
50,5913.58,0.99076,0.60886,1.01047,0.83654,0.79475,0.84794,0.57232,0.98542,0.53326,1.07067,0.000430236,0.000430236,0.000430236
51,6033.48,1.00169,0.62143,1.01641,0.84667,0.79193,0.85352,0.57386,0.98836,0.52897,1.07219,0.000427509,0.000427509,0.000427509
52,6153.18,0.99279,0.6074,1.01237,0.84578,0.80955,0.8649,0.59397,0.9558,0.51052,1.04618,0.000424738,0.000424738,0.000424738
53,6273.4,0.99556,0.61033,1.01221,0.86127,0.81571,0.87584,0.60934,0.92867,0.49657,1.02475,0.000421925,0.000421925,0.000421925
54,6390.58,0.98241,0.60327,1.00847,0.86313,0.83061,0.88447,0.62161,0.91656,0.48546,1.01684,0.000419071,0.000419071,0.000419071
55,6507.81,0.98362,0.59999,1.00669,0.87753,0.82144,0.88939,0.62774,0.8892,0.47524,1.0029,0.000416175,0.000416175,0.000416175
56,6625.02,0.98811,0.60551,1.01229,0.88798,0.83087,0.89515,0.63614,0.8669,0.46098,0.98611,0.000413238,0.000413238,0.000413238
57,6742.16,0.97226,0.59453,1.00291,0.88776,0.83488,0.89711,0.63965,0.86506,0.45898,0.99129,0.000410262,0.000410262,0.000410262
58,6859.38,0.96737,0.58877,0.99865,0.88584,0.83544,0.89638,0.64365,0.8438,0.45085,0.97768,0.000407248,0.000407248,0.000407248
59,6978.32,0.96071,0.58121,0.99957,0.89274,0.83568,0.89579,0.64255,0.83939,0.45085,0.97506,0.000404194,0.000404194,0.000404194
60,7098.15,0.95968,0.58122,0.99696,0.89076,0.83192,0.89355,0.63692,0.85815,0.45704,0.9862,0.000401104,0.000401104,0.000401104
61,7218.3,0.9502,0.57543,0.99426,0.87986,0.83482,0.89022,0.63273,0.8755,0.46399,0.99913,0.000397977,0.000397977,0.000397977
62,7338.11,0.95442,0.57842,0.99767,0.89224,0.82684,0.88743,0.6257,0.89655,0.47214,1.01516,0.000394814,0.000394814,0.000394814
63,7457.67,0.94628,0.5728,0.99143,0.88902,0.83043,0.89425,0.63456,0.87777,0.46076,1.00163,0.000391616,0.000391616,0.000391616
64,7577.84,0.94688,0.57119,0.99199,0.88794,0.83186,0.89369,0.63408,0.88023,0.46234,1.00588,0.000388383,0.000388383,0.000388383
65,7697.65,0.94324,0.57262,0.98951,0.88637,0.83711,0.89534,0.63895,0.86706,0.45591,0.99622,0.000385117,0.000385117,0.000385117
66,7817.7,0.93792,0.56544,0.99006,0.88801,0.83698,0.90044,0.64685,0.85276,0.4482,0.98452,0.000381818,0.000381818,0.000381818
67,7937.55,0.9257,0.55627,0.98309,0.88683,0.84397,0.90099,0.64808,0.84697,0.44626,0.98334,0.000378488,0.000378488,0.000378488
68,8057.66,0.92785,0.55811,0.98081,0.9051,0.83207,0.90147,0.6476,0.84727,0.44621,0.98534,0.000375126,0.000375126,0.000375126
69,8177.54,0.92172,0.55279,0.98063,0.88613,0.84262,0.89945,0.64654,0.85397,0.45025,0.99132,0.000371734,0.000371734,0.000371734
70,8297.43,0.92864,0.55698,0.98439,0.8809,0.84553,0.89836,0.64326,0.86777,0.45472,1.00299,0.000368313,0.000368313,0.000368313
71,8417.24,0.91716,0.54696,0.97879,0.88411,0.84368,0.90061,0.6464,0.86318,0.4529,1.00011,0.000364863,0.000364863,0.000364863
72,8537.24,0.91263,0.54994,0.97873,0.87721,0.84349,0.89819,0.64505,0.86628,0.45361,1.00202,0.000361385,0.000361385,0.000361385
73,8660.92,0.91601,0.55235,0.98126,0.88191,0.84124,0.90017,0.65046,0.85148,0.44773,0.9915,0.00035788,0.00035788,0.00035788
74,8798.33,0.90368,0.5427,0.9764,0.88992,0.83812,0.89995,0.65054,0.85132,0.44739,0.99219,0.00035435,0.00035435,0.00035435
75,8927.61,0.91233,0.54565,0.97616,0.89295,0.83864,0.90117,0.65413,0.84189,0.44398,0.9855,0.000350794,0.000350794,0.000350794
76,9047.66,0.89589,0.53374,0.97242,0.89257,0.83948,0.90159,0.65473,0.83733,0.44221,0.98286,0.000347214,0.000347214,0.000347214
77,9165.62,0.89203,0.53228,0.9706,0.87819,0.84797,0.90233,0.65548,0.83665,0.44143,0.9828,0.000343611,0.000343611,0.000343611
78,9283.53,0.8935,0.53011,0.97149,0.87845,0.84903,0.90309,0.65546,0.84121,0.44307,0.98667,0.000339985,0.000339985,0.000339985
79,9401.05,0.89418,0.53328,0.97065,0.88728,0.84812,0.9045,0.65709,0.8332,0.43945,0.98229,0.000336338,0.000336338,0.000336338
80,9518.22,0.89341,0.53395,0.97213,0.88745,0.84723,0.9047,0.65774,0.83023,0.43809,0.98176,0.00033267,0.00033267,0.00033267
81,9635.39,0.88728,0.52758,0.96908,0.89306,0.84137,0.90628,0.65879,0.82534,0.43632,0.97926,0.000328982,0.000328982,0.000328982
82,9752.65,0.88445,0.52675,0.96631,0.89064,0.8454,0.90585,0.65876,0.82133,0.43447,0.97656,0.000325275,0.000325275,0.000325275
83,9869.7,0.88293,0.52265,0.96625,0.89061,0.84347,0.90618,0.66015,0.82017,0.43352,0.97592,0.00032155,0.00032155,0.00032155
84,9986.53,0.87845,0.51946,0.96369,0.88822,0.84756,0.90556,0.65954,0.82248,0.43411,0.97795,0.000317809,0.000317809,0.000317809
85,10103.2,0.87486,0.5193,0.96343,0.88834,0.84667,0.90547,0.66062,0.82179,0.43381,0.97791,0.000314051,0.000314051,0.000314051
86,10219.9,0.86907,0.51425,0.95922,0.889,0.84044,0.90365,0.65779,0.82689,0.43573,0.98186,0.000310278,0.000310278,0.000310278
87,10336.8,0.87104,0.51424,0.95826,0.8847,0.85141,0.90506,0.65921,0.82388,0.43416,0.97975,0.00030649,0.00030649,0.00030649
88,10453.6,0.86348,0.51195,0.95738,0.8926,0.84098,0.90472,0.66026,0.82203,0.43322,0.97854,0.00030269,0.00030269,0.00030269
89,10578.4,0.8573,0.50622,0.95611,0.88573,0.84871,0.90492,0.66021,0.82242,0.43291,0.97899,0.000298877,0.000298877,0.000298877
90,10713.2,0.85693,0.50453,0.95358,0.88732,0.85032,0.90542,0.66035,0.82197,0.43243,0.97904,0.000295052,0.000295052,0.000295052
91,10853.3,0.85633,0.50596,0.95549,0.8941,0.84174,0.90412,0.6596,0.82421,0.43344,0.98143,0.000291218,0.000291218,0.000291218
92,10984.1,0.85401,0.50128,0.95189,0.89043,0.84636,0.90316,0.65834,0.82588,0.43451,0.98297,0.000287373,0.000287373,0.000287373
93,11108.3,0.85099,0.50328,0.95566,0.89637,0.84394,0.9052,0.66051,0.82279,0.43268,0.9809,0.00028352,0.00028352,0.00028352
94,11229.1,0.84997,0.4969,0.95064,0.90146,0.84155,0.90492,0.66023,0.82319,0.43236,0.98111,0.000279659,0.000279659,0.000279659
95,11346.6,0.84776,0.49898,0.95161,0.90224,0.84188,0.90567,0.66077,0.82291,0.43222,0.98115,0.000275792,0.000275792,0.000275792
96,11464.2,0.84906,0.50073,0.95267,0.90342,0.84261,0.90555,0.66131,0.8214,0.43147,0.98031,0.000271919,0.000271919,0.000271919
97,11581.7,0.84435,0.49598,0.95171,0.90621,0.84027,0.90608,0.66204,0.81997,0.43087,0.97946,0.000268041,0.000268041,0.000268041
98,11698.7,0.84219,0.4957,0.9504,0.90622,0.844,0.90592,0.66372,0.81765,0.42967,0.97807,0.000264159,0.000264159,0.000264159
99,11815.4,0.83356,0.48942,0.94403,0.90772,0.842,0.90634,0.66404,0.81638,0.42892,0.97735,0.000260274,0.000260274,0.000260274
100,11932.1,0.83271,0.48736,0.94477,0.90761,0.84182,0.90583,0.66476,0.81706,0.42878,0.97818,0.000256388,0.000256388,0.000256388
101,12048.8,0.82986,0.48355,0.94357,0.90713,0.84272,0.90563,0.6653,0.81748,0.42873,0.9789,0.0002525,0.0002525,0.0002525
102,12165.7,0.82526,0.48442,0.94503,0.90115,0.84769,0.90587,0.66575,0.8166,0.42797,0.97855,0.000248612,0.000248612,0.000248612
103,12282.8,0.82648,0.4846,0.94314,0.89662,0.84825,0.9062,0.66628,0.81601,0.42746,0.97844,0.000244726,0.000244726,0.000244726
104,12399.9,0.81977,0.48072,0.94136,0.8974,0.84836,0.90684,0.6665,0.81521,0.4269,0.97809,0.000240841,0.000240841,0.000240841
105,12516.7,0.81066,0.4734,0.93633,0.89638,0.84918,0.90663,0.66663,0.81554,0.42684,0.97855,0.000236959,0.000236959,0.000236959
106,12633.6,0.81547,0.47483,0.9368,0.89686,0.84893,0.90639,0.66599,0.81584,0.42697,0.97933,0.000233081,0.000233081,0.000233081
107,12750.8,0.81357,0.47608,0.93715,0.89838,0.84822,0.9066,0.66712,0.81538,0.42647,0.97915,0.000229208,0.000229208,0.000229208
108,12867.7,0.80644,0.47107,0.93542,0.89893,0.84945,0.90636,0.66652,0.81645,0.42717,0.98034,0.000225341,0.000225341,0.000225341
109,12984.7,0.80473,0.47021,0.93671,0.89773,0.84944,0.90641,0.66675,0.81688,0.42724,0.98096,0.00022148,0.00022148,0.00022148
110,13102.2,0.79775,0.46695,0.9311,0.89724,0.85071,0.9064,0.66681,0.8167,0.42701,0.98111,0.000217627,0.000217627,0.000217627
111,13229.4,0.79839,0.46573,0.9332,0.89847,0.85135,0.9058,0.6678,0.81658,0.42684,0.98131,0.000213782,0.000213782,0.000213782
112,13365.7,0.80385,0.46901,0.93649,0.89324,0.85482,0.90562,0.66701,0.81703,0.42733,0.98192,0.000209948,0.000209948,0.000209948
113,13505.7,0.79729,0.46614,0.93283,0.89338,0.85444,0.90539,0.66771,0.81727,0.42776,0.98203,0.000206123,0.000206123,0.000206123
114,13635.3,0.79342,0.4613,0.93298,0.89629,0.85275,0.90525,0.66801,0.81762,0.42783,0.98266,0.00020231,0.00020231,0.00020231
115,13758.7,0.79163,0.45967,0.92917,0.89332,0.85482,0.90503,0.66796,0.81808,0.42814,0.98334,0.00019851,0.00019851,0.00019851
116,13878.7,0.78875,0.45784,0.92819,0.89284,0.8554,0.905,0.66722,0.82007,0.42914,0.98501,0.000194722,0.000194722,0.000194722
117,13996.3,0.78884,0.45761,0.92708,0.89445,0.85529,0.90556,0.66788,0.81888,0.42827,0.9843,0.000190949,0.000190949,0.000190949
118,14113.7,0.78545,0.4579,0.92949,0.89461,0.85543,0.90593,0.6687,0.81839,0.4281,0.98399,0.000187191,0.000187191,0.000187191
119,14231.4,0.78177,0.45262,0.92634,0.89528,0.85436,0.90535,0.66863,0.81864,0.42831,0.9845,0.00018345,0.00018345,0.00018345
120,14348.2,0.78278,0.45213,0.92542,0.89574,0.85301,0.90502,0.66887,0.81901,0.42843,0.98534,0.000179725,0.000179725,0.000179725
121,14468.8,0.77671,0.44975,0.9235,0.89722,0.85276,0.90528,0.66854,0.81897,0.42874,0.98594,0.000176018,0.000176018,0.000176018
122,14585.4,0.78165,0.45326,0.92523,0.89818,0.85253,0.9048,0.66847,0.81929,0.42908,0.98671,0.00017233,0.00017233,0.00017233
123,14702,0.77543,0.45173,0.92657,0.89759,0.85249,0.9046,0.6688,0.8194,0.42896,0.98696,0.000168662,0.000168662,0.000168662
124,14818.7,0.7715,0.44731,0.92317,0.89833,0.85365,0.90567,0.66998,0.81811,0.42831,0.98637,0.000165015,0.000165015,0.000165015
125,14935.3,0.77467,0.44732,0.92487,0.89721,0.85096,0.90526,0.67035,0.81837,0.42836,0.98699,0.000161389,0.000161389,0.000161389
126,15052,0.76332,0.44202,0.92017,0.89789,0.85091,0.90551,0.67045,0.81781,0.42785,0.98655,0.000157786,0.000157786,0.000157786
127,15168.7,0.76548,0.44206,0.92024,0.89775,0.85189,0.90548,0.67103,0.8169,0.42758,0.98621,0.000154206,0.000154206,0.000154206
128,15285.4,0.7603,0.43963,0.91975,0.89647,0.85341,0.90541,0.67092,0.81681,0.42762,0.98635,0.00015065,0.00015065,0.00015065
129,15402.4,0.75925,0.43764,0.91781,0.89739,0.85393,0.90608,0.67205,0.81502,0.42673,0.98523,0.00014712,0.00014712,0.00014712
130,15526.6,0.7587,0.43879,0.91749,0.89932,0.85358,0.90639,0.67279,0.8141,0.42601,0.98482,0.000143615,0.000143615,0.000143615
131,15660.6,0.75403,0.43671,0.91776,0.89876,0.85301,0.9065,0.67319,0.81343,0.42569,0.98463,0.000140137,0.000140137,0.000140137
132,15800.5,0.75508,0.43604,0.91693,0.8994,0.8515,0.90605,0.6724,0.81539,0.42654,0.98632,0.000136687,0.000136687,0.000136687
133,15940.1,0.75063,0.43353,0.91512,0.89941,0.85137,0.90586,0.67233,0.81591,0.42691,0.98703,0.000133266,0.000133266,0.000133266
134,16064.3,0.75129,0.43579,0.91582,0.89858,0.85013,0.90497,0.67163,0.81791,0.42795,0.98897,0.000129874,0.000129874,0.000129874
135,16189.6,0.74229,0.42825,0.91018,0.89917,0.85095,0.90591,0.67236,0.81789,0.42812,0.98925,0.000126512,0.000126512,0.000126512
136,16307.1,0.7408,0.42804,0.91121,0.89587,0.85305,0.90478,0.67243,0.81778,0.42834,0.98938,0.000123182,0.000123182,0.000123182
137,16424.6,0.74701,0.43278,0.91449,0.89812,0.85034,0.90502,0.67206,0.81774,0.42841,0.9896,0.000119883,0.000119883,0.000119883
138,16542.1,0.74406,0.4301,0.9145,0.89701,0.85104,0.90459,0.67202,0.81888,0.42908,0.99081,0.000116617,0.000116617,0.000116617
139,16659.2,0.74311,0.42987,0.91236,0.89342,0.8536,0.90485,0.67249,0.81813,0.42856,0.99059,0.000113384,0.000113384,0.000113384
140,16776,0.73887,0.42607,0.90967,0.89187,0.85481,0.90467,0.67304,0.81793,0.42867,0.99083,0.000110186,0.000110186,0.000110186
141,16892.6,0.73463,0.42392,0.9112,0.88863,0.85614,0.90434,0.67236,0.81919,0.42921,0.99201,0.000107023,0.000107023,0.000107023
142,17009.4,0.73539,0.42349,0.90971,0.88506,0.85732,0.90419,0.67211,0.8201,0.42965,0.99291,0.000103896,0.000103896,0.000103896
143,17126.1,0.73414,0.42268,0.9097,0.88541,0.85721,0.9027,0.67065,0.82188,0.43078,0.99478,0.000100806,0.000100806,0.000100806
144,17242.7,0.72897,0.41978,0.90936,0.88571,0.85513,0.90231,0.66993,0.82308,0.43146,0.9961,9.77524e-05,9.77524e-05,9.77524e-05
145,17359.5,0.73543,0.42362,0.91142,0.88621,0.85476,0.90219,0.66976,0.82493,0.43234,0.99796,9.47376e-05,9.47376e-05,9.47376e-05
146,17476.2,0.72665,0.41913,0.90684,0.88494,0.85467,0.90199,0.66993,0.82531,0.43268,0.9986,9.17616e-05,9.17616e-05,9.17616e-05
